County,State,Population,Per Capita Income,Poverty Count,Poverty Rate
Autauga County,Alabama,55380,29819,8340,15.059588299024917
Baldwin County,Alabama,212830,32626,21704,10.197810459051826
Barbour County,Alabama,25361,18473,6875,27.108552501872957
Bibb County,Alabama,22493,20778,3740,16.627395189614546
Blount County,Alabama,57681,24747,7739,13.416896378356824
Bullock County,Alabama,10248,20877,2825,27.566354410616707
Butler County,Alabama,19828,21038,4397,22.175711115594112
Calhoun County,Alabama,114618,25345,19969,17.422219895653388
Chambers County,Alabama,33660,22729,5711,16.966726084373143
Cherokee County,Alabama,25903,24301,3560,13.743581824499094
Chilton County,Alabama,44055,24658,8302,18.844626035637273
Choctaw County,Alabama,12925,22308,2968,22.963249516441007
Clarke County,Alabama,24128,22225,5484,22.728779840848805
Clay County,Alabama,13337,23519,2342,17.560170952987928
Cleburne County,Alabama,14916,23142,2531,16.968356127648164
Coffee County,Alabama,51662,27806,7670,14.846502264720684
Colbert County,Alabama,54771,25536,8390,15.318325391174161
Conecuh County,Alabama,12394,19769,2161,17.43585605938357
Coosa County,Alabama,10757,23694,1399,13.00548480059496
Covington County,Alabama,37200,23687,6756,18.161290322580644
Crenshaw County,Alabama,13844,24563,2065,14.916209188095925
Cullman County,Alabama,82853,23468,12133,14.64400806247209
Dale County,Alabama,49277,24645,8424,17.095196541997282
Dallas County,Alabama,39149,19612,11204,28.61886638228307
DeKalb County,Alabama,71310,21907,14833,20.800729210489415
Elmore County,Alabama,81144,29052,8820,10.869565217391305
Escambia County,Alabama,37057,19028,7551,20.376716949564187
Etowah County,Alabama,102748,24883,17625,17.153618561918478
Fayette County,Alabama,16494,22483,3146,19.07360252212926
Franklin County,Alabama,31466,21641,6007,19.090446831500667
Geneva County,Alabama,26417,21711,5743,21.73978877238142
Greene County,Alabama,8324,14884,3140,37.72224891878904
Hale County,Alabama,14809,21191,3522,23.782834762644338
Henry County,Alabama,17133,25276,2316,13.517772719313607
Houston County,Alabama,104702,27097,18885,18.036904739164488
Jackson County,Alabama,51852,22596,9536,18.39080459770115
Jefferson County,Alabama,659680,32098,103417,15.67684331797235
Lamar County,Alabama,13885,22636,2827,20.360100828231907
Lauderdale County,Alabama,92556,28033,13175,14.234625524007088
Lawrence County,Alabama,33058,23450,5906,17.86556960493678
Lee County,Alabama,161152,27860,30423,18.878450158856236
Limestone County,Alabama,94727,28411,12436,13.12825276848206
Lowndes County,Alabama,10079,20209,2664,26.43119357079075
Macon County,Alabama,18708,20419,3995,21.354500748342957
Madison County,Alabama,362276,36620,44038,12.155925316609435
Marengo County,Alabama,19321,25635,4174,21.603436675120335
Marion County,Alabama,29866,21311,5137,17.200160717873167
Marshall County,Alabama,95643,24453,19147,20.01923820875548
Mobile County,Alabama,414114,25861,76275,18.418841188658195
Monroe County,Alabama,21270,20527,5869,27.59285378467325
Montgomery County,Alabama,226941,29071,42442,18.701777113875412
Morgan County,Alabama,119213,27367,17126,14.36588291545385
Perry County,Alabama,9293,15055,2612,28.107177445389002
Pickens County,Alabama,20243,23024,4204,20.767672775774344
Pike County,Alabama,33333,22453,7701,23.103231032310322
Randolph County,Alabama,22647,24721,3748,16.549653375723054
Russell County,Alabama,57952,23470,11775,20.318539480949752
St. Clair County,Alabama,87989,26409,10484,11.915125754355659
Shelby County,Alabama,213432,38549,15742,7.375651261291652
Sumter County,Alabama,12797,16799,3782,29.55380167226694
Talladega County,Alabama,80387,23305,14653,18.228071703136077
Tallapoosa County,Alabama,40541,25217,7546,18.613255716435216
Tuscaloosa County,Alabama,207305,26789,34749,16.762258507995465
Walker County,Alabama,64110,23882,11440,17.844330057713307
Washington County,Alabama,16541,26752,3451,20.863309352517987
Wilcox County,Alabama,10681,16841,3111,29.1264862840558
Winston County,Alabama,23784,22952,4127,17.352001345442314
Aleutians East Borough,Alaska,3385,33939,465,13.737075332348597
Aleutians West Census Area,Alaska,5698,39647,373,6.5461565461565465
Anchorage Municipality,Alaska,293531,41415,25861,8.810313050410349
Bethel Census Area,Alaska,18134,19885,4980,27.462225653468625
Bristol Bay Borough,Alaska,875,44168,61,6.9714285714285715
Denali Borough,Alaska,2246,34365,354,15.761353517364201
Dillingham Census Area,Alaska,4961,25993,843,16.992541826244707
Fairbanks North Star Borough,Alaska,99072,37025,7575,7.645954457364342
Haines Borough,Alaska,2518,31731,278,11.040508339952343
Hoonah-Angoon Census Area,Alaska,2139,36091,221,10.331930808789155
Juneau City and Borough,Alaska,32227,43680,2440,7.571291153380706
Kenai Peninsula Borough,Alaska,58464,34226,6913,11.824370552818829
Ketchikan Gateway Borough,Alaska,13800,37590,1304,9.44927536231884
Kodiak Island Borough,Alaska,13451,32876,1029,7.649988848412757
Kusilvak Census Area,Alaska,8250,13762,3195,38.72727272727273
Lake and Peninsula Borough,Alaska,1393,24836,229,16.439339554917446
Matanuska-Susitna Borough,Alaska,105369,31232,10624,10.082661883476165
Nome Census Area,Alaska,9988,23581,2080,20.82498998798558
North Slope Borough,Alaska,9792,48730,983,10.038807189542483
Northwest Arctic Borough,Alaska,7715,23780,1995,25.858716785482827
Petersburg Borough,Alaska,3257,36112,186,5.710776788455634
Prince of Wales-Hyder Census Area,Alaska,6407,27080,1098,17.137505852973312
